Updated,Symbol,Transaction,CurrentPrice,Balance,Net Worth,Profit
2020-10-20,MSFT,HOLD,214.65,100008.73000000001,0,100008.73

2020-10-27,MSFT,HOLD,212.81,51611.24553053794,103645.67,51611.25
