Updated,Symbol,Transaction,CurrentPrice,Balance,Net Worth,Profit
2020-10-20,AMZN,HOLD,3217.01,97287.30999999998,0,97287.31

2020-10-23,AMZN,HOLD,3204.4,97287.30999999998,0,97287.31

2020-10-26,AMZN,HOLD,3207.04,113149.47464450696,144110.05602794077,113149.47

2020-10-27,AMZN,HOLD,3251.55,50496.127323140216,107436.81,50496.13

2020-10-27,AMZN,HOLD,3264.68,46149.67930977629,99025.82,46149.68
