Updated,Symbol,Transaction,CurrentPrice,Balance,Net Worth,Profit
2020-10-22,SBUX,HOLD,89.36,99933.67,0,99933.67

2020-10-26,SBUX,HOLD,89.66,103586.38171928887,0,103586.38
