Updated,Symbol,Transaction,CurrentPrice,Balance,Net Worth,Profit
2020-10-23,GBP,HOLD,1.27994,99998.82764999995,0,99998.83

2020-10-27,GBP,HOLD,1.27994,82959.22785556254,100002.96,82959.23
